,Unnamed: 0,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month.1,price,predicted
1464,5919,12931071,0,0,1.0,0.0,2,3,73.0,0.06,10,1.0,0,0.06,110,116.88792014348152
1465,5927,12951891,0,0,4.0,5.0,4,2,90.0,0.04,13,1.0,0,0.04,150,220.35163161886766
1466,5932,12963180,0,0,1.0,1.0,2,1,100.0,0.02,14,1.0,0,0.02,120,119.14475556809236
1467,5934,12970450,0,0,3.0,4.0,4,3,93.0,0.06,9,1.0,0,0.06,110,195.86462645595753
1468,5935,12970674,1,1,1.0,1.0,2,215,99.0,4.29,30,3.0,1,4.29,62,101.91599524686657
1469,5936,12972142,0,0,1.0,1.0,2,6,87.0,0.11,5,40.0,0,0.11,125,130.38066273105875
1470,5938,12975581,0,0,1.0,1.0,2,12,93.0,0.23,12,1.0,0,0.23,100,114.71217702228407
1471,5939,12976739,0,0,2.0,2.0,4,10,96.0,0.19,9,3.0,0,0.19,260,179.10470637932133
1472,5944,12978648,0,1,1.0,1.0,2,13,98.0,0.26,25,1.0,0,0.26,100,134.38008038411
1473,5948,12986116,0,1,1.0,1.0,2,7,94.0,0.13,9,1.0,1,0.13,69,113.39134325131019
1474,5951,12993246,0,1,2.0,2.0,4,0,0.0,0.0,9,1.0,0,0.0,200,188.55350698548187
1475,5953,12994809,0,0,1.0,1.0,2,5,88.0,0.12,4,1.0,0,0.12,130,104.78555667702543
1476,5954,12996166,0,0,1.0,1.0,1,1,0.0,0.02,6,1.0,0,0.02,35,90.62586958034566
1477,5959,13008911,0,1,2.0,2.0,4,0,0.0,0.0,7,1.0,0,0.0,350,185.68709033225093
1478,5961,13009562,0,0,3.0,4.0,4,0,0.0,0.0,15,1.0,0,0.0,350,211.96096885158124
1479,5963,13013924,0,1,1.0,1.0,2,78,91.0,1.46,13,2.0,1,1.46,60,106.67413973336039
1480,5965,13017363,0,1,1.0,1.0,2,16,98.0,0.32,23,2.0,0,0.32,125,131.54536429328078
1481,5971,13027483,0,0,1.0,2.0,4,1,100.0,0.02,10,2.0,0,0.02,123,161.1200130512846
1482,5973,13028458,0,0,1.0,1.0,2,6,96.0,0.11,15,1.0,0,0.11,139,119.96689775529654
1483,5976,13033368,0,1,1.0,2.0,2,76,97.0,1.44,23,5.0,1,1.44,135,120.81080640448634
1484,5981,13036490,0,1,4.0,4.0,5,4,100.0,0.08,17,1.0,0,0.08,195,252.9637428460618
1485,5982,13037072,0,0,1.0,2.0,2,3,93.0,0.06,13,1.0,0,0.06,80,115.97768678399726
1486,5991,13052083,0,1,2.0,3.0,4,8,100.0,0.15,21,1.0,0,0.15,175,194.96975487870492
1487,5992,13052236,0,1,1.0,1.0,2,86,97.0,1.62,25,3.0,1,1.62,80,122.4859653645859
1488,6001,13062360,0,0,2.0,3.0,4,12,98.0,0.23,19,1.0,1,0.23,250,190.215387943957
1489,6003,13072405,1,1,1.0,2.0,3,216,94.0,4.06,25,2.0,1,4.06,60,118.58717915830428
1490,6006,13074859,0,0,2.0,2.0,4,9,91.0,0.17,14,2.0,0,0.17,179,186.22706181680542
1491,6007,13074889,0,1,2.0,4.0,4,29,99.0,0.56,27,1.0,0,0.56,240,197.73866262033062
1492,6009,13079391,0,1,3.0,4.0,4,3,93.0,0.06,12,1.0,0,0.06,119,201.83535570709364
1493,6010,13081792,0,1,1.0,1.0,3,16,98.0,0.38,11,1.0,0,0.38,290,137.80563474541628
1494,6013,13090334,0,0,1.0,1.0,2,18,97.0,0.4,11,1.0,0,0.4,95,111.48043989765422
1495,6022,13094970,0,1,4.0,4.0,4,0,0.0,0.0,16,1.0,0,0.0,150,235.26403747991367
1496,6026,13105889,0,0,3.0,3.0,4,2,90.0,0.04,12,1.0,0,0.04,175,202.45632924416697
1497,6029,13107280,0,1,2.0,2.0,4,41,98.0,0.78,27,1.0,0,0.78,185,199.3309450801449
1498,6031,13107524,1,1,1.0,1.0,2,29,100.0,0.67,20,1.0,0,0.67,180,121.59529463063716
1499,6035,13109623,0,0,1.0,2.0,2,1,100.0,0.02,8,1.0,0,0.02,79,108.68487773180406
1500,6038,13118832,0,1,1.0,1.0,2,7,94.0,0.14,11,1.0,0,0.14,100,115.78773781519543
1501,6056,13137656,0,0,2.0,2.0,4,40,85.0,0.77,5,1.0,0,0.77,122,167.2231922040129
1502,6063,13144675,0,1,1.0,1.0,2,10,98.0,0.19,11,1.0,0,0.19,80,114.97158629135264
1503,6074,13151981,1,0,1.0,1.0,3,33,98.0,0.88,20,2.0,0,0.88,124,143.5282586406301
1504,6075,13152028,0,1,2.0,4.0,4,14,97.0,0.28,22,1.0,0,0.28,175,193.5249304693375
1505,6078,13153552,0,1,0.0,0.0,2,200,91.0,3.8,9,2.0,0,3.8,65,58.99486831568332
1506,6080,13159115,0,1,2.0,3.0,4,10,100.0,0.19,20,1.0,0,0.19,282,193.15020490768285
1507,6083,13163462,0,1,1.0,1.0,2,1,100.0,0.02,9,1.0,0,0.02,120,113.65126285745879
1508,6086,13166910,0,0,1.0,1.0,2,6,77.0,0.11,16,1.0,0,0.11,130,122.81832608423532
1509,6087,13167309,0,1,2.0,3.0,4,42,98.0,0.79,15,2.0,0,0.79,130,180.75355096630886
1510,6095,13170633,0,1,0.0,1.0,2,58,97.0,1.09,9,1.0,0,1.09,90,82.98654785580653
1511,6097,13171302,0,1,1.0,1.0,2,21,93.0,0.42,12,1.0,0,0.42,141,114.55887090831884
1512,6098,13177695,0,0,1.0,1.0,3,2,80.0,0.04,10,1.0,0,0.04,149,139.18784714613787
1513,6099,13178435,0,1,2.0,3.0,4,15,94.0,0.28,14,1.0,0,0.28,193,184.08332298697428
1514,6106,13189108,0,1,1.0,1.0,2,23,98.0,0.44,17,1.0,0,0.44,170,121.09831820190405
1515,6108,13198248,1,0,1.0,1.0,2,38,99.0,0.72,9,1.0,0,0.72,150,103.3445157154806
1516,6115,13216269,0,1,2.0,2.0,4,6,100.0,0.12,17,1.0,0,0.12,200,191.4340131847685
