,beds,accommodates,price
870,3.0,4,$450.00
871,1.0,2,$120.00
872,2.0,2,$113.00
873,1.0,2,$80.00
874,3.0,3,$190.00
875,2.0,4,$115.00
876,0.0,2,$82.00
877,3.0,4,$350.00
878,2.0,4,$319.00
879,1.0,2,$125.00
880,2.0,2,$130.00
881,4.0,4,$285.00
882,3.0,4,$499.00
883,1.0,4,$103.00
884,1.0,2,$155.00
885,2.0,2,$135.00
886,2.0,2,$100.00
887,1.0,2,$105.00
888,1.0,3,$70.00
889,1.0,2,$125.00
890,4.0,6,$220.00
891,2.0,4,$100.00
892,2.0,4,$250.00
893,3.0,4,$240.00
894,2.0,4,$201.00
895,1.0,2,$123.00
896,2.0,2,$140.00
897,1.0,2,$200.00
898,2.0,3,$78.00
899,1.0,2,$55.00
900,4.0,6,$296.00
901,1.0,2,$70.00
902,1.0,2,$225.00
903,1.0,2,$84.00
904,4.0,4,$200.00
905,2.0,2,$75.00
906,3.0,4,$175.00
907,1.0,2,$125.00
908,2.0,4,$215.00
909,1.0,2,$150.00
910,2.0,4,$60.00
911,1.0,2,$189.00
912,2.0,4,$149.00
913,4.0,4,$174.00
914,1.0,2,$215.00
915,2.0,2,$77.00
916,1.0,2,$119.00
917,1.0,2,$132.00
918,2.0,4,$275.00
919,1.0,1,$154.00
920,2.0,4,$264.00
921,1.0,2,$110.00
922,1.0,4,$200.00
923,1.0,2,$199.00
924,1.0,2,$75.00
925,1.0,2,$80.00
926,3.0,4,$250.00
927,2.0,4,$105.00
928,1.0,2,$60.00
929,0.0,4,$130.00
930,0.0,4,$225.00
931,1.0,2,$89.00
932,2.0,2,$125.00
933,3.0,4,$120.00
934,1.0,2,$90.00
935,1.0,2,$80.00
936,1.0,2,$125.00
937,1.0,2,$65.00
938,1.0,2,$50.00
939,1.0,4,$289.00
940,1.0,2,$120.00
941,3.0,4,$186.00
942,1.0,2,$115.00
943,1.0,2,$105.00
944,1.0,2,$175.00
945,1.0,2,$150.00
946,1.0,2,$90.00
947,1.0,2,$115.00
948,6.0,4,$150.00
949,2.0,4,$450.00
950,1.0,1,$40.00
951,1.0,2,$130.00
952,2.0,4,$230.00
953,1.0,2,$60.00
954,1.0,2,$75.00
955,5.0,5,$200.00
956,2.0,4,$115.00
957,1.0,2,$110.00
958,1.0,2,$120.00
959,1.0,2,$44.00
960,0.0,1,$61.00
961,1.0,2,$150.00
962,1.0,2,$100.00
963,1.0,2,$145.00
964,1.0,2,$200.00
965,1.0,2,$122.00
966,1.0,2,$126.00
967,6.0,6,$300.00
968,2.0,5,$160.00
969,1.0,3,$144.00
970,1.0,2,$65.00
971,1.0,2,$99.00
972,1.0,2,$87.00
973,2.0,2,$75.00
974,2.0,2,$200.00
975,1.0,2,$219.00
976,3.0,4,$117.00
977,4.0,4,$136.00
978,2.0,2,$120.00
979,3.0,4,$188.00
980,1.0,2,$130.00
981,0.0,2,$125.00
982,1.0,2,$99.00
983,1.0,1,$38.00
984,1.0,2,$295.00
985,1.0,2,$175.00
986,2.0,4,$180.00
987,1.0,2,$112.00
988,0.0,4,$130.00
989,2.0,2,$105.00
